wavelength_nm,relative_intensity
2.000000000000000000e+02,2.043445124944199222e-05
2.010000000000000000e+02,1.876130290728822997e-05
2.020000000000000000e+02,1.655642674687133923e-05
2.030000000000000000e+02,1.719016469813458911e-05
2.040000000000000000e+02,1.770841260596555872e-05
2.050000000000000000e+02,1.393622361638253171e-05
2.060000000000000000e+02,1.091710621757771633e-05
2.070000000000000000e+02,1.251154281246477742e-05
2.080000000000000000e+02,1.382146221675739556e-05
2.090000000000000000e+02,1.236690701674675034e-05
2.100000000000000000e+02,1.289061975313129673e-05
2.110000000000000000e+02,1.807674205047670669e-05
2.120000000000000000e+02,1.619866263756377360e-05
2.130000000000000000e+02,1.713915963163452672e-05
2.140000000000000000e+02,1.999617199944504450e-05
2.150000000000000000e+02,1.786507102450145810e-05
2.160000000000000000e+02,1.857549873646658210e-05
2.170000000000000000e+02,2.020529277209529454e-05
2.180000000000000000e+02,2.232327815851029327e-05
2.190000000000000000e+02,1.929776691029779111e-05
2.200000000000000000e+02,1.560882547568093713e-05
2.210000000000000000e+02,1.409470364443629058e-05
2.220000000000000000e+02,1.388540071083425662e-05
2.230000000000000000e+02,1.525288297589123099e-05
2.240000000000000000e+02,2.197680802821345582e-05
2.250000000000000000e+02,2.451012038470037809e-05
2.260000000000000000e+02,1.630049060961211277e-05
2.270000000000000000e+02,1.250917472009155940e-05
2.280000000000000000e+02,1.199511651415166900e-05
2.290000000000000000e+02,1.549625000747723000e-05
2.300000000000000000e+02,1.931416139595852654e-05
2.310000000000000000e+02,1.864417341528987581e-05
2.320000000000000000e+02,1.646042792528015653e-05
2.330000000000000000e+02,1.446940872225994847e-05
2.340000000000000000e+02,1.413259312240776362e-05
2.350000000000000000e+02,1.586294000342230748e-05
2.360000000000000000e+02,1.856711933268442708e-05
2.370000000000000000e+02,1.703733165958619432e-05
2.380000000000000000e+02,1.882123386042580082e-05
2.390000000000000000e+02,2.113067040716781490e-05
2.400000000000000000e+02,1.310884857337083915e-05
2.410000000000000000e+02,1.305383596593148995e-05
2.420000000000000000e+02,2.068656200671371747e-05
2.430000000000000000e+02,2.496861950034556584e-05
2.440000000000000000e+02,2.479629523995607009e-05
2.450000000000000000e+02,2.148515561934323276e-05
2.460000000000000000e+02,2.010838314574518040e-05
2.470000000000000000e+02,1.966973957384465807e-05
2.480000000000000000e+02,1.551738067788439808e-05
2.490000000000000000e+02,1.443243004904740349e-05
2.500000000000000000e+02,1.950579471723732410e-05
2.510000000000000000e+02,2.032078281552757482e-05
2.520000000000000000e+02,1.595474912312241437e-05
2.530000000000000000e+02,1.709671612986840496e-05
2.540000000000000000e+02,1.840226367131816168e-05
2.550000000000000000e+02,1.455283843817790373e-05
2.560000000000000000e+02,1.676062917382336762e-05
2.570000000000000000e+02,1.700909671205937389e-05
2.580000000000000000e+02,2.117876089843930075e-05
2.590000000000000000e+02,2.651316221053846015e-05
2.600000000000000000e+02,2.580801716617512224e-05
2.610000000000000000e+02,2.225842885967450416e-05
2.620000000000000000e+02,1.574599267237573893e-05
2.630000000000000000e+02,1.385862305092172446e-05
2.640000000000000000e+02,1.728707432448470325e-05
2.650000000000000000e+02,1.661034638859997477e-05
2.660000000000000000e+02,1.633200445427107419e-05
2.670000000000000000e+02,1.803083749062665494e-05
2.680000000000000000e+02,2.313498735966839623e-05
2.690000000000000000e+02,2.624228887523277637e-05
2.700000000000000000e+02,2.393430961610505735e-05
2.710000000000000000e+02,2.202453419758137044e-05
2.720000000000000000e+02,1.973404238982509373e-05
2.730000000000000000e+02,1.773974428967273792e-05
2.740000000000000000e+02,1.580555930360973856e-05
2.750000000000000000e+02,1.985772967608774003e-05
2.760000000000000000e+02,1.726448636646324690e-05
2.770000000000000000e+02,4.122120177963796990e-06
2.780000000000000000e+02,2.037470245725620020e-06
2.790000000000000000e+02,8.556628172145284438e-06
2.800000000000000000e+02,1.088324249664071037e-05
2.810000000000000000e+02,1.524122467497692991e-05
2.820000000000000000e+02,2.144089050805925490e-05
2.830000000000000000e+02,2.138660654442704474e-05
2.840000000000000000e+02,1.946881604402478082e-05
2.850000000000000000e+02,1.821154115479829556e-05
2.860000000000000000e+02,2.080241637204957236e-05
2.870000000000000000e+02,2.145418825753962478e-05
2.880000000000000000e+02,2.161667582653267386e-05
2.890000000000000000e+02,2.320603013086490964e-05
2.900000000000000000e+02,2.019636688545778269e-05
2.910000000000000000e+02,1.552976762260584330e-05
2.920000000000000000e+02,1.483427710868716477e-05
2.930000000000000000e+02,2.204092868324210587e-05
2.940000000000000000e+02,1.845254009401108163e-05
2.950000000000000000e+02,1.320339010734773697e-05
2.960000000000000000e+02,1.428998018475080713e-05
2.970000000000000000e+02,2.164800751023985645e-05
2.980000000000000000e+02,2.447295955053604920e-05
2.990000000000000000e+02,2.175256789656497978e-05
3.000000000000000000e+02,2.358729300295285628e-05
3.010000000000000000e+02,2.150209658785932502e-05
3.020000000000000000e+02,1.565272626506134378e-05
3.030000000000000000e+02,1.752060466467426236e-05
3.040000000000000000e+02,1.819860772722149350e-05
3.050000000000000000e+02,8.159444432871243262e-06
3.060000000000000000e+02,3.902798392013537517e-06
3.070000000000000000e+02,1.118413595680071018e-05
