wavelength_nm,relative_intensity
2.520000000000000000e+02,1.702788216705540449e-03
2.530000000000000000e+02,1.690908298914571561e-03
2.540000000000000000e+02,1.694868271511561046e-03
2.550000000000000000e+02,1.734467997481457411e-03
2.560000000000000000e+02,1.797827559033291552e-03
2.570000000000000000e+02,1.770107750854364075e-03
2.580000000000000000e+02,1.734467997481457411e-03
2.590000000000000000e+02,1.746347915272426299e-03
2.600000000000000000e+02,1.758227833063395187e-03
2.610000000000000000e+02,1.793867586436301851e-03
2.620000000000000000e+02,1.722588079690488523e-03
2.630000000000000000e+02,1.754267860466405485e-03
2.640000000000000000e+02,1.797827559033291552e-03
2.650000000000000000e+02,1.785947641242322664e-03
2.660000000000000000e+02,1.706748189302529934e-03
2.670000000000000000e+02,1.520629477244017430e-03
2.680000000000000000e+02,1.492909669065090169e-03
2.690000000000000000e+02,1.520629477244017430e-03
2.700000000000000000e+02,1.512709532050038243e-03
2.710000000000000000e+02,1.564189175810903496e-03
2.720000000000000000e+02,1.682988353720592158e-03
2.730000000000000000e+02,1.750307887869416001e-03
2.740000000000000000e+02,1.682988353720592158e-03
2.750000000000000000e+02,1.682988353720592158e-03
2.760000000000000000e+02,1.754267860466405485e-03
2.770000000000000000e+02,1.758227833063395187e-03
2.780000000000000000e+02,1.758227833063395187e-03
2.790000000000000000e+02,1.829507339809208514e-03
2.800000000000000000e+02,1.857227147988135992e-03
2.810000000000000000e+02,1.714668134496509337e-03
2.820000000000000000e+02,1.544389312825955205e-03
2.830000000000000000e+02,1.599828929183809943e-03
2.840000000000000000e+02,1.679028381123602674e-03
2.850000000000000000e+02,1.667148463332633786e-03
2.860000000000000000e+02,1.647348600347685495e-03
2.870000000000000000e+02,1.619628792168758234e-03
2.880000000000000000e+02,1.754267860466405485e-03
2.890000000000000000e+02,1.789907613839312149e-03
2.900000000000000000e+02,1.698828244108550748e-03
2.910000000000000000e+02,1.627548737362737421e-03
2.920000000000000000e+02,1.536469367631976019e-03
2.930000000000000000e+02,1.619628792168758234e-03
2.940000000000000000e+02,1.758227833063395187e-03
2.950000000000000000e+02,1.813667449421249925e-03
2.960000000000000000e+02,1.766147778257374373e-03
2.970000000000000000e+02,1.766147778257374373e-03
2.980000000000000000e+02,1.793867586436301851e-03
2.990000000000000000e+02,1.778027696048343261e-03
3.000000000000000000e+02,1.789907613839312149e-03
3.010000000000000000e+02,1.766147778257374373e-03
3.020000000000000000e+02,1.702788216705540449e-03
3.030000000000000000e+02,1.671108435929623270e-03
3.040000000000000000e+02,1.643388627750696010e-03
3.050000000000000000e+02,1.599828929183809943e-03
3.060000000000000000e+02,1.639428655153706308e-03
3.070000000000000000e+02,1.730508024884467710e-03
3.080000000000000000e+02,1.655268545541664898e-03
3.090000000000000000e+02,1.667148463332633786e-03
3.100000000000000000e+02,1.730508024884467710e-03
3.110000000000000000e+02,1.758227833063395187e-03
3.120000000000000000e+02,1.726548052287478225e-03
3.130000000000000000e+02,1.710708161899519636e-03
3.140000000000000000e+02,1.702788216705540449e-03
3.150000000000000000e+02,1.702788216705540449e-03
3.160000000000000000e+02,1.663188490735644084e-03
3.170000000000000000e+02,1.714668134496509337e-03
3.180000000000000000e+02,1.750307887869416001e-03
3.190000000000000000e+02,1.659228518138654383e-03
3.200000000000000000e+02,1.599828929183809943e-03
3.210000000000000000e+02,1.643388627750696010e-03
3.220000000000000000e+02,1.766147778257374373e-03
3.230000000000000000e+02,1.849307202794156588e-03
3.240000000000000000e+02,1.789907613839312149e-03
3.250000000000000000e+02,1.730508024884467710e-03
3.260000000000000000e+02,1.774067723451353776e-03
3.270000000000000000e+02,1.675068408526612972e-03
