wavelength_nm,relative_intensity
3.710000000000000000e+02,6.625091492076982079e-04
3.720000000000000000e+02,4.257788145947092066e-04
3.730000000000000000e+02,4.449187139889509003e-04
3.740000000000000000e+02,6.658670262944072979e-04
3.750000000000000000e+02,6.064326018596567953e-04
3.760000000000000000e+02,5.708391047405407450e-04
3.770000000000000000e+02,5.819200991266806986e-04
3.780000000000000000e+02,4.898135306382510800e-04
3.790000000000000000e+02,5.825916745440224516e-04
3.800000000000000000e+02,6.107978420723786774e-04
3.810000000000000000e+02,4.976709630211503159e-04
3.820000000000000000e+02,6.074399649856695874e-04
3.830000000000000000e+02,6.030747247729477054e-04
3.840000000000000000e+02,5.785622220399716086e-04
3.850000000000000000e+02,5.028085149638151759e-04
3.860000000000000000e+02,5.048903987575748377e-04
3.870000000000000000e+02,5.617728366064263755e-04
3.880000000000000000e+02,5.970305460168714952e-04
3.890000000000000000e+02,5.691601661971862000e-04
3.900000000000000000e+02,4.516008893915019330e-04
3.910000000000000000e+02,4.926005686202195337e-04
3.920000000000000000e+02,6.141557191590876590e-04
3.930000000000000000e+02,6.309451045926330005e-04
3.940000000000000000e+02,6.067683895683277260e-04
3.950000000000000000e+02,6.269156520885820491e-04
3.960000000000000000e+02,5.476697528422481542e-04
3.970000000000000000e+02,5.218140992745884431e-04
3.980000000000000000e+02,7.105267915476378262e-04
3.990000000000000000e+02,7.578728584702355831e-04
4.000000000000000000e+02,7.222793613511195327e-04
4.010000000000000000e+02,6.685533279637745265e-04
4.020000000000000000e+02,6.353103448053547741e-04
4.030000000000000000e+02,7.212719982251068491e-04
4.040000000000000000e+02,7.142204563430177384e-04
4.050000000000000000e+02,6.309451045926330005e-04
4.060000000000000000e+02,6.379966464747220027e-04
4.070000000000000000e+02,6.987742217441560112e-04
4.080000000000000000e+02,5.433045126295264890e-04
4.090000000000000000e+02,4.264503900120510138e-04
4.100000000000000000e+02,5.631159874411098814e-04
4.110000000000000000e+02,6.030747247729477054e-04
4.120000000000000000e+02,6.215430487498475919e-04
4.130000000000000000e+02,6.709038419244709329e-04
4.140000000000000000e+02,6.010599985209223381e-04
4.150000000000000000e+02,5.738611941185789043e-04
4.160000000000000000e+02,5.315519428260447824e-04
4.170000000000000000e+02,6.272514397972530882e-04
4.180000000000000000e+02,6.010599985209223381e-04
4.190000000000000000e+02,5.956873951821878808e-04
4.200000000000000000e+02,5.647949259844644264e-04
4.210000000000000000e+02,5.553928701416791262e-04
4.220000000000000000e+02,5.285298534480066231e-04
4.230000000000000000e+02,4.903507909721245691e-04
4.240000000000000000e+02,4.066389152004675671e-04
