wavelength_nm,relative_intensity
3.330000000000000000e+02,1.754861480048511930e-04
3.340000000000000000e+02,1.386655878280490962e-04
3.350000000000000000e+02,1.509011521038376876e-04
3.360000000000000000e+02,1.602589779120550811e-04
3.370000000000000000e+02,1.890674173194321417e-04
3.380000000000000000e+02,2.221717612737231890e-04
3.390000000000000000e+02,1.910549201459561916e-04
3.400000000000000000e+02,1.696478584519368524e-04
3.410000000000000000e+02,1.596792895876522254e-04
3.420000000000000000e+02,1.711074308401654240e-04
3.430000000000000000e+02,1.496175565283742483e-04
3.440000000000000000e+02,1.536029137586438344e-04
3.450000000000000000e+02,2.072240837659069374e-04
3.460000000000000000e+02,2.220061360381794888e-04
3.470000000000000000e+02,2.215817213720988740e-04
3.480000000000000000e+02,2.423159305467220345e-04
3.490000000000000000e+02,2.597272834332503013e-04
3.500000000000000000e+02,2.434339008866417736e-04
3.510000000000000000e+02,2.219750813065150840e-04
3.520000000000000000e+02,2.134867879849019470e-04
3.530000000000000000e+02,2.021828656590465303e-04
3.540000000000000000e+02,2.686917493070515119e-04
3.550000000000000000e+02,2.684536630309574345e-04
3.560000000000000000e+02,2.292418885159935914e-04
3.570000000000000000e+02,2.559179030157459288e-04
3.580000000000000000e+02,2.778839498797251511e-04
3.590000000000000000e+02,3.043632844122693836e-04
3.600000000000000000e+02,3.140420091143526098e-04
3.610000000000000000e+02,3.106259886312643932e-04
3.620000000000000000e+02,3.594233236533181668e-04
3.630000000000000000e+02,3.645162996462860327e-04
3.640000000000000000e+02,3.639780176307691223e-04
3.650000000000000000e+02,4.046804192656259960e-04
3.660000000000000000e+02,4.099493720713589672e-04
3.670000000000000000e+02,4.469769637925906825e-04
3.680000000000000000e+02,5.191585117579664401e-04
3.690000000000000000e+02,5.701296779965307196e-04
3.700000000000000000e+02,6.812124531602258655e-04
3.710000000000000000e+02,8.546738326605557608e-04
3.720000000000000000e+02,1.097687459512005454e-03
3.730000000000000000e+02,1.495084509044598397e-03
3.740000000000000000e+02,2.038956376261124442e-03
3.750000000000000000e+02,2.915320903831568507e-03
3.760000000000000000e+02,4.162789474792046897e-03
3.770000000000000000e+02,5.890364197284740123e-03
3.780000000000000000e+02,8.310252404349972519e-03
3.790000000000000000e+02,1.159656762485302903e-02
3.800000000000000000e+02,1.604257004147841698e-02
3.810000000000000000e+02,2.165933584185312372e-02
3.820000000000000000e+02,2.823155221977037554e-02
3.830000000000000000e+02,3.598177808549198053e-02
