wavelength_nm,relative_intensity
3.190000000000000000e+02,4.213541385671016183e-05
3.200000000000000000e+02,4.102072036843741067e-05
3.210000000000000000e+02,4.146659776374651385e-05
3.220000000000000000e+02,4.213541385671016183e-05
3.230000000000000000e+02,3.879133339189189480e-05
3.240000000000000000e+02,3.344080464818267027e-05
3.250000000000000000e+02,3.321786595052811868e-05
3.260000000000000000e+02,3.455549813645542820e-05
3.270000000000000000e+02,3.611606902003728254e-05
3.280000000000000000e+02,3.500137553176453138e-05
3.290000000000000000e+02,3.321786595052811868e-05
3.300000000000000000e+02,3.054260157867350642e-05
3.310000000000000000e+02,3.232611115990991234e-05
3.320000000000000000e+02,3.990602688016465274e-05
3.330000000000000000e+02,3.767663990361914364e-05
3.340000000000000000e+02,3.165729506694626435e-05
3.350000000000000000e+02,3.410962074114632503e-05
3.360000000000000000e+02,3.745370120596459206e-05
3.370000000000000000e+02,3.700782381065548888e-05
3.380000000000000000e+02,3.544725292707362778e-05
3.390000000000000000e+02,3.567019162472817936e-05
3.400000000000000000e+02,3.656194641534638571e-05
3.410000000000000000e+02,4.280422994967381659e-05
3.420000000000000000e+02,3.856839469423734999e-05
3.430000000000000000e+02,3.946014948485554956e-05
3.440000000000000000e+02,4.547949432152842886e-05
3.450000000000000000e+02,4.325010734498291976e-05
3.460000000000000000e+02,4.436480083325567770e-05
3.470000000000000000e+02,4.280422994967381659e-05
3.480000000000000000e+02,4.057484297312830750e-05
3.490000000000000000e+02,3.789957860127369523e-05
3.500000000000000000e+02,3.344080464818267027e-05
3.510000000000000000e+02,3.678488511300093730e-05
3.520000000000000000e+02,4.547949432152842886e-05
3.530000000000000000e+02,4.949239087931035064e-05
3.540000000000000000e+02,3.812251729892824682e-05
3.550000000000000000e+02,3.388668204349177344e-05
3.560000000000000000e+02,4.057484297312830750e-05
3.570000000000000000e+02,4.213541385671016183e-05
3.580000000000000000e+02,3.633900771769183412e-05
3.590000000000000000e+02,3.210317246225536075e-05
3.600000000000000000e+02,3.344080464818267027e-05
3.610000000000000000e+02,3.477843683410997979e-05
3.620000000000000000e+02,3.856839469423734999e-05
3.630000000000000000e+02,3.767663990361914364e-05
3.640000000000000000e+02,3.700782381065548888e-05
3.650000000000000000e+02,3.767663990361914364e-05
3.660000000000000000e+02,3.990602688016465274e-05
3.670000000000000000e+02,3.789957860127369523e-05
3.680000000000000000e+02,3.455549813645542820e-05
3.690000000000000000e+02,3.990602688016465274e-05
3.700000000000000000e+02,3.812251729892824682e-05
3.710000000000000000e+02,3.544725292707362778e-05
3.720000000000000000e+02,3.210317246225536075e-05
3.730000000000000000e+02,3.188023376460081594e-05
3.740000000000000000e+02,3.589313032238273095e-05
3.750000000000000000e+02,3.789957860127369523e-05
3.760000000000000000e+02,3.433255943880087662e-05
3.770000000000000000e+02,4.035190427547375591e-05
