wavelength_nm,relative_intensity
2.000000000000000000e+02,2.310517009218460572e-04
2.010000000000000000e+02,2.048714827617500881e-04
2.020000000000000000e+02,1.675169830872966681e-04
2.030000000000000000e+02,1.728341287069779561e-04
2.040000000000000000e+02,1.606541411670458098e-04
2.050000000000000000e+02,1.650706823165919428e-04
2.060000000000000000e+02,1.815732816632167348e-04
2.070000000000000000e+02,2.035784026013217685e-04
2.080000000000000000e+02,2.022542885170431476e-04
2.090000000000000000e+02,1.925572217779590817e-04
2.100000000000000000e+02,1.680267670097439605e-04
2.110000000000000000e+02,1.786829888886273376e-04
2.120000000000000000e+02,1.352458401395191078e-04
2.130000000000000000e+02,1.454768972616536627e-04
2.140000000000000000e+02,1.162323894605810619e-04
2.150000000000000000e+02,1.211812658505723276e-04
2.160000000000000000e+02,2.041597714414503063e-04
2.170000000000000000e+02,2.270876343820370030e-04
2.180000000000000000e+02,2.891430685130563999e-04
2.190000000000000000e+02,2.519892548795014996e-04
2.200000000000000000e+02,2.392260364640097254e-04
2.210000000000000000e+02,2.380384716446723870e-04
2.220000000000000000e+02,2.261338584557050387e-04
2.230000000000000000e+02,2.535450889285288060e-04
2.240000000000000000e+02,2.334826916234512980e-04
2.250000000000000000e+02,2.384377747982126294e-04
2.260000000000000000e+02,2.116430849458811054e-04
2.270000000000000000e+02,2.388019061713892745e-04
2.280000000000000000e+02,2.064935225149913472e-04
2.290000000000000000e+02,2.147071676940320438e-04
2.300000000000000000e+02,2.171753991042576516e-04
2.310000000000000000e+02,1.917213747622582300e-04
2.320000000000000000e+02,2.202870672023123457e-04
2.330000000000000000e+02,2.329178742093762145e-04
2.340000000000000000e+02,2.208580914011575220e-04
2.350000000000000000e+02,2.534685385830314918e-04
2.360000000000000000e+02,2.418039210718396644e-04
2.370000000000000000e+02,2.290179444455243973e-04
2.380000000000000000e+02,2.419011606999038643e-04
2.390000000000000000e+02,2.345585343169276707e-04
2.400000000000000000e+02,2.229683982229765504e-04
2.410000000000000000e+02,2.400991241883309441e-04
2.420000000000000000e+02,2.547616187434597842e-04
2.430000000000000000e+02,2.695213529266528513e-04
2.440000000000000000e+02,2.531561304162720065e-04
